Название,Автор,Жанр,Описание,Дата издания,Мировой рейтинг
Мастер,Габриэль Гарсиа Маркес,Роман,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",2014,4.4
Замок сапфирового моря,Андрей Платонов,Мистика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2015,4.5
Бытие,Джон Стейнбек,Детектив,"История о любви, предательстве и искуплении, мастерски рассказанная Джон Стейнбек.",1888,3.8
Посторонний,Юваль Ной Харари,Мистика,"История о любви, предательстве и искуплении, мастерски рассказанная Юваль Ной Харари.",1903,3.7
Время,Василий Гроссман,Триллер,"Книга, которая изменила представление о жанре триллер и принесла Василий Гроссман мировую известность.",2014,4.6
Игра ста лет,Эрнест Хемингуэй,Философия,"История о любви, предательстве и искуплении, мастерски рассказанная Эрнест Хемингуэй.",1946,2.5
Небо хрустального замка,Стивен Кинг,Детектив,"Захватывающее произведение Стивен Кинг в жанре детектив, рассказывающее о приключениях главных героев.",1830,4.8
Река янтарного солнца,Борис Акунин,Научная фантастика,"Книга, которая изменила представление о жанре научная фантастика и принесла Борис Акунин мировую известность.",1936,3.4
Замок солнцестояния,Джонатан Франзен,Ужасы,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях ужасы.",1948,3.1
Эйфория,Евгений Водолазкин,Научная фантастика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1889,3.9
Чужак,Михаил Шолохов,Детектив,"История о любви, предательстве и искуплении, мастерски рассказанная Михаил Шолохов.",1879,4.4
Сказание семи грехов,Донна Тартт,Фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Донна Тартт.",1972,4.9
Остров пяти элементов,Донна Тартт,Классика,"Захватывающее произведение Донна Тартт в жанре классика, рассказывающее о приключениях главных героев.",1857,4.8
Радость параллельных вселенных,Джейн Остин,История,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",2017,2.9
Город десяти заповедей,Донна Тартт,Биография,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1859,3.8
Предубеждение,Алексей Иванов,Детектив,"Произведение, в котором Алексей Иванов раскрывает сложные социальные проблемы через увлекательное повествование.",1827,4.9
Дом пяти элементов,Марина Цветаева,Психология,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1823,4.6
Осень ста лет,Чарльз Диккенс,Поэзия,"История о любви, предательстве и искуплении, мастерски рассказанная Чарльз Диккенс.",1925,4.9
Мир,Александр Пушкин,Детектив,"Одно из лучших произведений Александр Пушкин, ставшее классикой жанра детектив.",1922,4.1
Гордость,Джейн Остин,Боевик,"Книга, которая изменила представление о жанре боевик и принесла Джейн Остин мировую известность.",1814,4.8
Мечта шести чувств,Колсон Уайтхед,Боевик,"Книга, которая изменила представление о жанре боевик и принесла Колсон Уайтхед мировую известность.",1977,3.9
Замок тысячи планет,Габриэль Гарсиа Маркес,Фэнтези,"Одно из лучших произведений Габриэль Гарсиа Маркес, ставшее классикой жанра фэнтези.",1928,4.7
Исповедь полнолуния,Томас Манн,Комедия,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Томас Манн.,1828,3.2
Осень пяти элементов,Максим Горький,Мистика,"Одно из лучших произведений Максим Горький, ставшее классикой жанра мистика.",1806,4.9
Война забытых предков,Юваль Ной Харари,Сказка,"Захватывающее произведение Юваль Ной Харари в жанре сказка, рассказывающее о приключениях главных героев.",1900,3.2
Жизнь изумрудного города,Николай Гоголь,Детектив,Книга 'Жизнь изумрудного города' - это глубокое исследование человеческой природы через призму детектив.,1869,4.8
Время семи королевств,Орхан Памук,Поэзия,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1881,3.7
Преступление,Нил Гейман,Философия,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1961,4.8
Шепот,Борис Акунин,Научная фантастика,"Произведение, в котором Борис Акунин раскрывает сложные социальные проблемы через увлекательное повествование.",2019,3.2
Звезда серебряного века,Лев Толстой,Научная литература,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях научная литература.",1922,3.6
Лето потерянного времени,Юваль Ной Харари,Ужасы,Книга 'Лето потерянного времени' - это глубокое исследование человеческой природы через призму ужасы.,1835,3.7
Смерть потерянного времени,Иван Тургенев,Приключения,Книга 'Смерть потерянного времени' - это глубокое исследование человеческой природы через призму приключения.,1833,4.5
Гордость,Антон Чехов,Биография,"Книга, которая изменила представление о жанре биография и принесла Антон Чехов мировую известность.",1808,4.1
Эхо,Ханья Янагихара,Психология,Книга 'Эхо' - это глубокое исследование человеческой природы через призму психология.,1940,1.1
Остров серебряного века,Джоан Роулинг,Драма,"Книга, которая изменила представление о жанре драма и принесла Джоан Роулинг мировую известность.",1978,4.0
Звезда трех сестер,Томас Манн,Поэзия,"Книга, которая изменила представление о жанре поэзия и принесла Томас Манн мировую известность.",1830,4.8
Отчаяние новолуния,Николай Гоголь,Фэнтези,"Захватывающее произведение Николай Гоголь в жанре фэнтези, рассказывающее о приключениях главных героев.",1847,3.2
Фуга,Джоан Роулинг,Драма,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1856,3.1
Смерть шести чувств,Габриэль Гарсиа Маркес,Философия,"Книга, которая изменила представление о жанре философия и принесла Габриэль Гарсиа Маркес мировую известность.",1892,3.4
Чужак,Джоан Роулинг,Психология,"Захватывающее произведение Джоан Роулинг в жанре психология, рассказывающее о приключениях главных героев.",1822,4.8
Лето четырех стихий,Франц Кафка,Боевик,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Франц Кафка.,1918,3.8
Преступление,Дэн Браун,Боевик,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2014,3.5
Замок светлого будущего,Мо Янь,Биография,"История о любви, предательстве и искуплении, мастерски рассказанная Мо Янь.",1890,3.8
Полночь алмазной горы,Джеймс Джойс,Драма,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1857,4.1
Тишина,Донна Тартт,Драма,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях драма.",1918,3.5
Дар двух столиц,Альбер Камю,Роман,"Книга, которая изменила представление о жанре роман и принесла Альбер Камю мировую известность.",1945,3.1
Дом десяти заповедей,Лев Толстой,Приключения,"История о любви, предательстве и искуплении, мастерски рассказанная Лев Толстой.",1966,4.4
Время жемчужной реки,Борис Пастернак,Научная фантастика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях научная фантастика.",1951,3.5
Шум,Джонатан Франзен,Фантастика,"Одно из лучших произведений Джонатан Франзен, ставшее классикой жанра фантастика.",1970,3.6
Империя серебряного века,Кадзуо Исигуро,Драма,"История о любви, предательстве и искуплении, мастерски рассказанная Кадзуо Исигуро.",1940,4.3
Гордость,Иосиф Бродский,Драма,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях драма.",1879,4.3
Королевство одинокого сердца,Вирджиния Вулф,Приключения,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях приключения.",1902,3.1
Коллекционер,Дэн Браун,Боевик,"Произведение, в котором Дэн Браун раскрывает сложные социальные проблемы через увлекательное повествование.",1890,3.9
Сон черного ворона,Юваль Ной Харари,Классика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Юваль Ной Харари.,1842,4.8
Герой,Жан-Поль Сартр,Ужасы,"История о любви, предательстве и искуплении, мастерски рассказанная Жан-Поль Сартр.",1833,3.9
Герой,Чарльз Диккенс,Философия,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1892,2.0
Игра пяти элементов,Максим Горький,Детектив,"Захватывающее произведение Максим Горький в жанре детектив, рассказывающее о приключениях главных героев.",1845,2.3
Коллекционер,Стивен Кинг,Фэнтези,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2022,4.1
Солнце шести чувств,Борис Акунин,Мистика,"Произведение, в котором Борис Акунин раскрывает сложные социальные проблемы через увлекательное повествование.",2014,4.4
Жизнь параллельных вселенных,Марина Цветаева,Ужасы,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1853,4.5
Портрет пяти элементов,Джордж Мартин,Научная фантастика,"Одно из лучших произведений Джордж Мартин, ставшее классикой жанра научная фантастика.",1811,3.4
Радость параллельных вселенных,Иосиф Бродский,Биография,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2012,3.4
Слепота,Евгений Водолазкин,Психология,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Евгений Водолазкин.,2011,4.4
Ненависть первого снега,Василий Гроссман,История,"Книга, которая изменила представление о жанре история и принесла Василий Гроссман мировую известность.",1908,4.0
Замок параллельных вселенных,Джордж Мартин,Научная литература,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1866,3.3
Рассвет янтарного солнца,Борис Пастернак,Поэзия,"История о любви, предательстве и искуплении, мастерски рассказанная Борис Пастернак.",1983,4.1
История первого снега,Чимаманда Нгози Адичи,Детектив,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях детектив.",1920,3.6
Сад разбитых надежд,Элис Манро,Биография,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1815,3.2
Дневник заката,Мо Янь,Приключения,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1889,1.9
Сказание ста лет,Пауло Коэльо,Сказка,"Книга, которая изменила представление о жанре сказка и принесла Пауло Коэльо мировую известность.",1817,3.6
Слепота,Колсон Уайтхед,Комедия,"Захватывающее произведение Колсон Уайтхед в жанре комедия, рассказывающее о приключениях главных героев.",1846,4.3
Ненависть новолуния,Николай Гоголь,Научная фантастика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1973,4.6
Гора тысячи планет,Кадзуо Исигуро,Боевик,"История о любви, предательстве и искуплении, мастерски рассказанная Кадзуо Исигуро.",1869,3.5
Падение,Джордж Мартин,Триллер,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1890,4.0
Солнце черного ворона,Чарльз Диккенс,Мистика,"Одно из лучших произведений Чарльз Диккенс, ставшее классикой жанра мистика.",1803,4.0
Ненависть десяти заповедей,Кадзуо Исигуро,Научная фантастика,"Книга, которая изменила представление о жанре научная фантастика и принесла Кадзуо Исигуро мировую известность.",1940,3.5
Бытие,Михаил Шолохов,Научная литература,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1980,3.6
Время вечной любви,Нил Гейман,Научная литература,"История о любви, предательстве и искуплении, мастерски рассказанная Нил Гейман.",1946,3.7
Легенда тысячи планет,Милан Кундера,Фэнтези,"История о любви, предательстве и искуплении, мастерски рассказанная Милан Кундера.",1919,4.3
Жизнь восьми благословений,Мо Янь,Комедия,Книга 'Жизнь восьми благословений' - это глубокое исследование человеческой природы через призму комедия.,1914,3.7
Процесс,Уильям Фолкнер,Фантастика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях фантастика.",1951,4.5
Загадка потерянного времени,Николай Гоголь,Философия,Книга 'Загадка потерянного времени' - это глубокое исследование человеческой природы через призму философия.,2018,3.6
Бессмертие,Уильям Фолкнер,Ужасы,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1953,3.6
Полдень мгновения,Джек Лондон,Сказка,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2005,4.6
Шутка,Альбер Камю,Боевик,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Альбер Камю.,1880,1.7
Эйфория,Харуки Мураками,Детектив,"История о любви, предательстве и искуплении, мастерски рассказанная Харуки Мураками.",1806,3.8
Легкость,Эрнест Хемингуэй,Сказка,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Эрнест Хемингуэй.,1980,5.0
Море забытых предков,Максим Горький,Мистика,"Произведение, в котором Максим Горький раскрывает сложные социальные проблемы через увлекательное повествование.",1940,3.0
Солнце последнего дождя,Николай Гоголь,Психология,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1856,3.5
Эйфория,Джоан Роулинг,Боевик,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1990,4.6
Взлет,Ханья Янагихара,Фантастика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1947,3.8
Полночь хрустального замка,Иосиф Бродский,Научная литература,"Захватывающее произведение Иосиф Бродский в жанре научная литература, рассказывающее о приключениях главных героев.",1850,4.8
Зима рассвета,Василий Гроссман,Научная фантастика,"Захватывающее произведение Василий Гроссман в жанре научная фантастика, рассказывающее о приключениях главных героев.",1921,2.9
Королевство потерянного времени,Евгений Водолазкин,Комедия,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях комедия.",1900,3.7
Тайна равноденствия,Харуки Мураками,Классика,"Произведение, в котором Харуки Мураками раскрывает сложные социальные проблемы через увлекательное повествование.",1952,3.6
Город белого лотоса,Алексей Иванов,Научная фантастика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1841,4.9
Лето хрустального замка,Джеймс Джойс,Психология,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Джеймс Джойс.,1844,3.9
Дом золотого века,Захар Прилепин,Психология,"Одно из лучших произведений Захар Прилепин, ставшее классикой жанра психология.",1929,4.3
Имя,Джейн Остин,Боевик,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1806,3.8
Любовь заката,Салман Рушди,Приключения,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1963,4.0
Бытие,Венедикт Ерофеев,Классика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Венедикт Ерофеев.,1927,3.6
Империя семи королевств,Александр Солженицын,Биография,"Захватывающее произведение Александр Солженицын в жанре биография, рассказывающее о приключениях главных героев.",1945,4.8
Судьба великих открытий,Джоан Роулинг,Приключения,"Книга, которая изменила представление о жанре приключения и принесла Джоан Роулинг мировую известность.",1816,4.9
Рассвет черного ворона,Салман Рушди,Комедия,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1945,4.4
Солнце заката,Захар Прилепин,Мистика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях мистика.",1807,3.6
Шум,Александр Пушкин,Ужасы,"Одно из лучших произведений Александр Пушкин, ставшее классикой жанра ужасы.",1953,3.9
Полночь тысячи дней,Нил Гейман,Драма,"История о любви, предательстве и искуплении, мастерски рассказанная Нил Гейман.",1857,3.3
Остров бронзового века,Марина Цветаева,Роман,"История о любви, предательстве и искуплении, мастерски рассказанная Марина Цветаева.",1810,2.6
Любовь семи грехов,Джейн Остин,Триллер,"Одно из лучших произведений Джейн Остин, ставшее классикой жанра триллер.",1834,4.3
Сон последнего дождя,Оскар Уайльд,Фэнтези,Книга 'Сон последнего дождя' - это глубокое исследование человеческой природы через призму фэнтези.,1832,4.3
Надежда далеких миров,Антон Чехов,Триллер,"Одно из лучших произведений Антон Чехов, ставшее классикой жанра триллер.",1980,3.5
Выбор четырех стихий,Нил Гейман,Сказка,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях сказка.",2014,3.6
Осень великих открытий,Марк Твен,Научная фантастика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1954,4.9
Наследие восьми благословений,Уильям Фолкнер,Фантастика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Уильям Фолкнер.,1929,3.5
Рассвет хрустального замка,Донна Тартт,Мистика,"Произведение, в котором Донна Тартт раскрывает сложные социальные проблемы через увлекательное повествование.",1997,4.7
Лето янтарного солнца,Василий Гроссман,Ужасы,"Одно из лучших произведений Василий Гроссман, ставшее классикой жанра ужасы.",2016,3.2
Невыносимость,Джон Стейнбек,Роман,"Одно из лучших произведений Джон Стейнбек, ставшее классикой жанра роман.",1827,3.8
Полдень изумрудного города,Татьяна Толстая,Триллер,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1866,3.1
Остров семи грехов,Альбер Камю,Поэзия,"Книга, которая изменила представление о жанре поэзия и принесла Альбер Камю мировую известность.",1959,4.4
Имя,Альбер Камю,Фэнтези,Книга 'Имя' - это глубокое исследование человеческой природы через призму фэнтези.,1961,4.2
Война красной розы,Джоан Роулинг,Комедия,"Захватывающее произведение Джоан Роулинг в жанре комедия, рассказывающее о приключениях главных героев.",1919,3.5
Мастер,Уильям Фолкнер,Триллер,"История о любви, предательстве и искуплении, мастерски рассказанная Уильям Фолкнер.",1876,4.3
Падение,Ханья Янагихара,Классика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях классика.",1885,3.4
Печаль забытых предков,Ханья Янагихара,Поэзия,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях поэзия.",2021,4.2
Падение,Виктор Пелевин,Научная фантастика,"Книга, которая изменила представление о жанре научная фантастика и принесла Виктор Пелевин мировую известность.",2016,4.7
Ненависть трех сестер,Гузель Яхина,Драма,"Одно из лучших произведений Гузель Яхина, ставшее классикой жанра драма.",1863,4.6
Игра,Донна Тартт,Философия,"Захватывающее произведение Донна Тартт в жанре философия, рассказывающее о приключениях главных героев.",1919,3.2
Дом ста лет,Максим Горький,Приключения,"Книга, которая изменила представление о жанре приключения и принесла Максим Горький мировую известность.",1963,4.6
Чувства,Маргарет Этвуд,Научная литература,"История о любви, предательстве и искуплении, мастерски рассказанная Маргарет Этвуд.",1859,3.5
Битва сапфирового моря,Пауло Коэльо,Фантастика,"Книга, которая изменила представление о жанре фантастика и принесла Пауло Коэльо мировую известность.",1850,4.1
Дневник мгновения,Джек Лондон,Психология,"Захватывающее произведение Джек Лондон в жанре психология, рассказывающее о приключениях главных героев.",1873,4.5
Игра потерянного времени,Людмила Улицкая,Научная фантастика,Книга 'Игра потерянного времени' - это глубокое исследование человеческой природы через призму научная фантастика.,1997,3.7
Наследие несбывшихся желаний,Джек Лондон,Ужасы,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1870,4.6
Фуга,Уильям Фолкнер,Фэнтези,Книга 'Фуга' - это глубокое исследование человеческой природы через призму фэнтези.,1914,4.7
Мир ста лет,Андрей Платонов,Драма,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях драма.",1960,3.5
Слепота,Габриэль Гарсиа Маркес,Психология,"Произведение, в котором Габриэль Гарсиа Маркес раскрывает сложные социальные проблемы через увлекательное повествование.",1961,2.2
Весна потерянного времени,Габриэль Гарсиа Маркес,Классика,"Захватывающее произведение Габриэль Гарсиа Маркес в жанре классика, рассказывающее о приключениях главных героев.",1910,4.7
Звезда новолуния,Джек Лондон,Приключения,"История о любви, предательстве и искуплении, мастерски рассказанная Джек Лондон.",1972,4.5
Исповедь вечности,Анна Ахматова,Классика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1864,4.5
Маятник,Захар Прилепин,Психология,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Захар Прилепин.,1984,5.0
Дневник великих открытий,Колсон Уайтхед,Фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Колсон Уайтхед.",1852,3.7
Хроники тысячи планет,Михаил Шолохов,Роман,"Одно из лучших произведений Михаил Шолохов, ставшее классикой жанра роман.",1945,3.1
Империя потерянного времени,Андрей Платонов,Ужасы,"Захватывающее произведение Андрей Платонов в жанре ужасы, рассказывающее о приключениях главных героев.",1909,4.5
Остров,Николай Гоголь,Детектив,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",2017,3.2
Радость рубинового леса,Габриэль Гарсиа Маркес,Ужасы,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях ужасы.",1927,2.1
Хроники янтарного солнца,Федор Достоевский,Приключения,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2025,4.6
Загадка железного века,Джейн Остин,Сказка,"Одно из лучших произведений Джейн Остин, ставшее классикой жанра сказка.",1853,4.8
Земля тысячи дней,Салман Рушди,Комедия,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях комедия.",1918,3.5
Солнце солнцестояния,Кадзуо Исигуро,Триллер,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1800,3.5
Полдень одинокого сердца,Евгений Водолазкин,Поэзия,Книга 'Полдень одинокого сердца' - это глубокое исследование человеческой природы через призму поэзия.,1999,3.1
Слепота,Альбер Камю,Драма,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях драма.",1816,3.4
Гора новолуния,Венедикт Ерофеев,Классика,"Книга, которая изменила представление о жанре классика и принесла Венедикт Ерофеев мировую известность.",1915,4.2
Закат восьми благословений,Джон Стейнбек,Мистика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Джон Стейнбек.,1973,3.3
Весна алмазной горы,Виктор Пелевин,Фэнтези,"Одно из лучших произведений Виктор Пелевин, ставшее классикой жанра фэнтези.",2003,3.8
Невыносимость,Михаил Булгаков,Фэнтези,"Книга, которая изменила представление о жанре фэнтези и принесла Михаил Булгаков мировую известность.",1974,4.3
Гора хрустального замка,Кадзуо Исигуро,Фэнтези,Книга 'Гора хрустального замка' - это глубокое исследование человеческой природы через призму фэнтези.,1909,3.9
Наказание,Донна Тартт,Философия,"Книга, которая изменила представление о жанре философия и принесла Донна Тартт мировую известность.",1991,2.9
Смерть восьми благословений,Пауло Коэльо,Триллер,"Одно из лучших произведений Пауло Коэльо, ставшее классикой жанра триллер.",1936,4.4
Преступление,Пауло Коэльо,Ужасы,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",2011,4.7
Рассвет семи королевств,Чарльз Диккенс,Ужасы,Книга 'Рассвет семи королевств' - это глубокое исследование человеческой природы через призму ужасы.,1927,4.6
Взлет,Сергей Есенин,Боевик,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1869,1.9
Отчаяние ста лет,Франц Кафка,Классика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях классика.",1804,3.3
История вечной любви,Михаил Булгаков,Фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Михаил Булгаков.",1969,3.3
Солнце далеких миров,Джордж Оруэлл,Ужасы,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях ужасы.",1884,4.7
Гора семи грехов,Ханья Янагихара,Сказка,"Захватывающее произведение Ханья Янагихара в жанре сказка, рассказывающее о приключениях главных героев.",2019,4.7
Гора янтарного солнца,Ханья Янагихара,Боевик,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1882,4.7
Полдень темной души,Джордж Оруэлл,Комедия,Книга 'Полдень темной души' - это глубокое исследование человеческой природы через призму комедия.,1928,3.8
Время одинокого сердца,Андрей Платонов,Фантастика,"Книга, которая изменила представление о жанре фантастика и принесла Андрей Платонов мировую известность.",1966,4.6
Маргарита,Пауло Коэльо,Драма,"История о любви, предательстве и искуплении, мастерски рассказанная Пауло Коэльо.",2013,3.7
Дар последнего дождя,Алексей Иванов,Ужасы,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях ужасы.",2021,4.8
Посторонний,Донна Тартт,Сказка,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Донна Тартт.,1972,4.3
Замок пяти элементов,Евгений Водолазкин,История,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1920,3.4
Дневник тысячи планет,Иван Тургенев,Комедия,Книга 'Дневник тысячи планет' - это глубокое исследование человеческой природы через призму комедия.,2005,3.3
